cpu,mark,rank
AMD Ryzen Threadripper PRO 9995WX,175348,1
AMD EPYC 9J45,201335,1
AMD EPYC 9755,166328,2
AMD EPYC 9575F,200184,2
AMD EPYC Embedded 9755,164010,3
AMD EPYC 9755,198588,3
AMD EPYC 9K65,187923,4
AMD EPYC 9965,160542,4
AMD EPYC 9965,183557,5
AMD EPYC 9655P,160490,5
AMD EPYC 9B45,158790,6
AMD EPYC 9555,182471,6
AMD EPYC 9655,156110,7
AMD EPYC 9655,181621,7
AMD EPYC 9745,173717,8
AMD EPYC 9845,152985,8
AMD Ryzen Threadripper PRO 9985WX,152948,9
AMD EPYC 9475F,165046,9
AMD EPYC 9575F,147894,10
Intel Xeon 6960P,160785,10
Intel Xeon Platinum 8490H,157156,11
AMD Ryzen Threadripper 9980X,142585,11
Intel Xeon 6767P,157028,12
AMD Ryzen Threadripper PRO 7995WX,142428,12
AMD EPYC 9555P,135990,13
AMD EPYC 9845,153265,13
Intel Xeon 6760P,153187,14
AMD Ryzen Threadripper 7980X,135644,14
AMD EPYC 9684X,151016,15
AMD EPYC 9565,135221,15
AMD Ryzen Threadripper PRO 7985WX,132539,16
Intel Xeon 6787P,148896,16
AMD EPYC 9745,130698,17
AMD EPYC 9474F,147898,17
AMD EPYC 9B14,145397,18
Intel Xeon 6960P,130659,18
AMD EPYC 9J14,124637,19
AMD EPYC 9654,143680,19
AMD EPYC 9554,142492,20
AMD EPYC 9B14,122543,20
AMD EPYC 9475F,122476,21
AMD EPYC 9634,142281,21
AMD EPYC 9684X,122017,22
Intel Xeon 6747P,142257,22
AMD EPYC 9654,119235,23
Intel Xeon Platinum 8570,137588,23
Intel Xeon 6781P,117946,24
AMD EPYC 9275F,135300,24
AMD EPYC 9V74,117606,25
AMD EPYC 9534,135059,25
Intel Xeon Platinum 8558P,133223,26
AMD EPYC Embedded 9654P,116927,26
AMD EPYC 9455P,116912,27
AMD Instinct MI300A Accelerator,132020,27
AMD EPYC 9R14,116475,28
AMD EPYC 9734,130034,28
AMD EPYC 9654P,116324,29
AMD EPYC 9754,130015,29
AMD EPYC 9754 128-Core Emb,115016,30
AMD EPYC 9454,129701,30
AMD EPYC 9D25,114275,31
Intel Xeon Platinum 8488C,127207,31
AMD EPYC 9455 48-Core Emb,111003,32
Intel Xeon Platinum 8568Y+,127172,32
Intel Xeon 6737P,127075,33
AMD EPYC 9634,107944,33
AMD Ryzen Threadripper 9970X,107154,34
Intel Xeon Platinum 8480+,126353,34
Intel Xeon 6736P,125444,35
AMD Ryzen Threadripper PRO 9975WX,106708,35
AMD EPYC 9335,125085,36
AMD EPYC 9554P,104920,36
Intel Xeon 6530P,124434,37
AMD EPYC 9554,103544,37
AMD EPYC 9734,102286,38
Intel Xeon Gold 6448H,123361,38
AMD EPYC 9474F,102255,39
Intel Xeon 6740P,123062,39
Intel Xeon 6747P,101685,40
AMD EPYC 9384X,121560,40
Intel Xeon 6741P,100660,41
AMD EPYC 9374F,121404,41
AMD Ryzen Threadripper 7970X,99221,42
Intel Xeon Platinum 8468,121219,42
Intel Xeon w9-3595X,98602,43
AMD EPYC 7J13,119134,43
Intel Xeon Platinum 8559C,117672,44
AMD EPYC 9754,98450,44
AMD EPYC 9355P,97235,45
Intel Xeon 6730P,117335,45
Intel Xeon Platinum 8458P,117136,46
AMD Ryzen Threadripper PRO 7975WX,95893,46
AMD EPYC 7T83,115522,47
AMD EPYC 9375F,95768,47
Intel Xeon Platinum 8580,114407,48
AMD Ryzen Threadripper PRO 5995WX,94945,48
AMD EPYC 9454P,94708,49
AMD Ryzen Threadripper PRO 3995WX,113693,49
Intel Xeon Platinum 8570,93722,50
AMD EPYC 9354,113544,50
AMD EPYC 7763,113441,51
AMD Ryzen Threadripper PRO 9965WX,92824,51
AMD Ryzen Threadripper 9960X 24-Cores,92572,52
AMD EPYC 9274F,111349,52
AMD EPYC 7773X,91340,53
Intel Xeon Platinum 8462Y+,111234,53
Intel Xeon Max 9480,111213,54
Intel Xeon 6740P,90684,54
Intel Xeon w9-3495X,90467,55
AMD EPYC 7B13,110944,55
Intel Xeon Platinum 8470 @2.00GHz,89850,56
Intel Xeon Gold 6554S,110835,56
AMD EPYC 9534,89077,57
AMD EPYC 7773X,110412,57
Intel Xeon Platinum 8457C,109905,58
Intel Xeon Platinum 8488C,88667,58
AMD EPYC 9334,109616,59
AMD EPYC 9454,87961,59
Intel Xeon Platinum 8470,109610,60
Intel Xeon 6780E,86734,60
Intel Xeon w9-3575X,85385,61
AMD EPYC 7R13,109348,61
AMD EPYC 7713,109207,62
AMD EPYC 7J13,84786,62
AMD EPYC 9275F,84620,63
Intel Xeon Platinum 8592+,108721,63
AMD EPYC 7763,84440,64
AMD EPYC 7Y83,108281,64
Intel Xeon 6745P,84210,65
Intel Xeon Platinum 8558,105534,65
Intel Xeon Platinum 8592+,84013,66
AMD EPYC 7573X,103466,66
AMD Ryzen Threadripper 7960X,83568,67
Intel Xeon Platinum 8562Y+,102877,67
AMD EPYC 7R43,83535,68
Intel Xeon E7-8890 v4 @ 2.20GHz,102411,68
AMD Ryzen Threadripper PRO 3995WX,83240,69
AMD EPYC 7K83,102053,69
AMD EPYC 7713,83018,70
AMD EPYC 75F3,101429,70
Intel Xeon Max 9480,82913,71
AMD EPYC 9175F,101064,71
Intel Xeon Gold 6448Y,100642,72
AMD Ryzen Threadripper PRO 7965WX,82144,72
Intel Xeon Gold 6548Y+,100613,73
AMD EPYC 9374F,82009,73
AMD EPYC 7V13,100318,74
AMD EPYC 7663,81821,74
AMD EPYC 7V13,81764,75
Intel Xeon 6740E,99184,75
AMD Ryzen Threadripper PRO 3975WX,98811,76
AMD EPYC 7T83,81757,76
AMD EPYC 7543,98031,77
AMD EPYC 7713P,81582,77
AMD EPYC 7662,97178,78
AMD EPYC 7A23 48-Core,81296,78
Intel Xeon Gold 6538Y+,96953,79
AMD EPYC 7K23,81183,79
AMD EPYC 9255,96899,80
AMD EPYC 7B13,80079,80
AMD Ryzen Threadripper 3990X,79718,81
Intel Xeon Platinum 8469C,96642,81
AMD EPYC 7643,96440,82
Intel Xeon Platinum 8568Y+,79683,82
Intel Xeon 6737P,79634,83
Intel Xeon Gold 6542Y,95662,83
AMD EPYC 7R13,79046,84
AMD EPYC 74F3,95523,84
AMD EPYC 9254,95370,85
AMD EPYC 7643P,77307,85
AMD EPYC 7742,95172,86
AMD EPYC 7643,76259,86
Intel Xeon 6740E,76167,87
Intel Xeon Gold 6438Y+,94596,87
AMD EPYC 7V73X,94451,88
AMD EPYC 7C13,76073,88
AMD EPYC 9255,75809,89
Intel Xeon 6520P,93834,89
AMD EPYC 7B12,93376,90
AMD Ryzen Threadripper PRO 5975WX,75012,90
AMD EPYC 7513,93169,91
Intel Xeon Platinum 8461V,74982,91
Intel Xeon 6732P,74849,92
Intel Xeon 6776P,93165,92
AMD EPYC 9354P,74626,93
AMD EPYC 7R12,92961,93
Intel Xeon 6730P,74113,94
Intel Xeon Gold 6438M,91911,94
Intel Xeon Gold 6530,91769,95
AMD EPYC 9274F,73982,95
AMD EPYC 9354,73892,96
Intel Xeon Gold 6442Y,91737,96
Intel Xeon Gold 6548Y+,73387,97
AMD EPYC 7V12,91701,97
AMD EPYC 7702,89599,98
AMD EPYC 7662,72298,98
AMD EPYC 7K62,89531,99
Apple M3 Ultra 32 Core,72171,99
AMD EPYC 9384X,72121,100
Intel Xeon Platinum 8176M @ 2.10GHz,88102,100
Ampere Altra Max,72121,101
Intel Xeon Platinum 8368 @ 2.40GHz,88038,101
AMD EPYC 8534P,71900,102
Intel Xeon Platinum 8369B @ 2.90GHz,87459,102
AMD Ryzen 9 9950X3D2,71585,103
Intel Xeon Platinum 8450H,87103,103
Intel Xeon Platinum 8370C @ 2.80GHz,86883,104
Intel Xeon w7-3565X,71085,104
AMD EPYC 7V12,70622,105
AMD EPYC 7H12,86680,105
Intel Xeon Gold 6448H,70280,106
Intel Xeon Platinum 8375C @ 2.90GHz,86393,106
AMD Ryzen 9 9950X3D,70168,107
Intel Xeon Gold 6428N,86030,107
Intel Xeon Platinum 8380 @ 2.30GHz,85937,108
AMD EPYC 7H12,69633,108
AMD EPYC 7742,69448,109
Intel Xeon Gold 5420+,85769,109
Intel Xeon Gold 6454S,85725,110
AMD EPYC 7573X,69432,110
AMD EPYC 7702,69060,111
AMD EPYC 9135,85694,111
Apple M3 Ultra 28 Core,68728,112
Intel Xeon Gold 6418H,84526,112
AMD EPYC 4585PX,68597,113
Intel Xeon Platinum 8260 @ 2.40GHz,83793,113
AMD EPYC 9224,83623,114
Intel Xeon Platinum 8571N,68385,114
AMD EPYC 9V94,83538,115
Intel Xeon 658X,68239,115
Intel Xeon Gold 5320H @ 2.40GHz,83263,116
Intel Xeon w7-3555,67754,116
AMD Ryzen Threadripper PRO 9955WX,67434,117
Intel Xeon Platinum 8358 @ 2.60GHz,82893,117
Intel Xeon Platinum 8358P @ 2.60GHz,82052,118
Intel Core Ultra 9 285K,67421,118
Intel Xeon Platinum 8338C @ 2.60GHz,81817,119
AMD Ryzen Threadripper PRO 5965WX,66644,119
AMD EPYC 7C13,81691,120
AMD EPYC 7543P,66590,120
Intel Xeon Gold 6430,81548,121
AMD EPYC 8434P,66490,121
Intel Xeon w7-2595X,66276,122
AMD EPYC 7473X,81282,122
AMD EPYC 9174F,81093,123
Intel Core Ultra 9 290HX Plus,66203,123
AMD EPYC 7453,80327,124
AMD EPYC 7B12,66044,124
AMD EPYC 9115,79764,125
AMD EPYC 9175F,65894,125
AMD Ryzen 9 9950X,65840,126
Intel Xeon Gold 6544Y,78992,126
AMD EPYC 9334,65568,127
AMD EPYC 9184X,78921,127
Intel Xeon w9-3475X,65016,128
Intel Xeon Gold 5418Y,78759,128
AMD EPYC 7502,78579,129
Intel Xeon 6521P,64761,129
Intel Xeon Platinum 8469C,64513,130
Intel Xeon 6517P,78438,130
Intel Xeon E7-8880 v3 @ 2.30GHz,78087,131
AMD EPYC 75F3,64505,131
AMD EPYC 4564P,64443,132
AMD EPYC 7532,77962,132
Intel Xeon Gold 6256 @ 3.60GHz,76542,133
Intel Core Ultra 7 270K Plus,64360,133
Intel Xeon 6520P,64010,134
Intel Xeon Gold 6348 @ 2.60GHz,76125,134
AMD EPYC 7R32,63969,135
AMD EPYC 7413,75623,135
Intel Xeon Gold 5418N,75373,136
AMD EPYC 4565P,63939,136
AMD EPYC 73F3,75182,137
AMD EPYC 7702P,63692,137
Intel Xeon 6515P,74937,138
AMD EPYC 9254,63540,138
Intel Xeon Platinum 8336C,74875,139
AMD Ryzen Threadripper 3970X,62913,139
Intel Xeon 6724P,74777,140
Intel Xeon Gold 6438Y+,62660,140
AMD EPYC 7373X,74709,141
Intel Xeon Platinum 8454H,62347,141
Intel Xeon Platinum 8380 @ 2.30GHz,62318,142
Intel Xeon Gold 6444Y,74635,142
AMD Ryzen 9 7950X3D,62315,143
AMD EPYC 7R32,74520,143
AMD EPYC 7642,73920,144
AMD Ryzen Threadripper PRO 3975WX,62305,144
AMD Ryzen 9 7950X,62242,145
AMD EPYC 7542,73758,145
AMD Ryzen 9 9955HX3D,62121,146
AMD EPYC 7443,73384,146
AMD EPYC 7543,61909,147
Intel Xeon Gold 6548N,72978,147
Intel Xeon w7-3465X,61600,148
Intel Xeon Platinum 8160 @ 2.10GHz,72905,148
Intel Xeon 6710E,61404,149
AMD EPYC 7343,72650,149
Intel Xeon 654,61351,150
Intel Xeon Gold 6148 @ 2.40GHz,72249,150
AMD EPYC 7552,72235,151
Intel Xeon Gold 5520+,61227,151
Intel Xeon Gold 6342 @ 2.80GHz,71887,152
AMD EPYC 74F3,60666,152
AMD EPYC Embedded 9124,71486,153
Intel Core i9-13900KS,60542,153
Intel Xeon Gold 6336Y @ 2.40GHz,71271,154
Intel Xeon Gold 6448Y,60449,154
Intel Xeon Gold 6416H,71079,155
Intel Xeon Gold 5512U,60407,155
Intel Xeon Gold 5318H @ 2.50GHz,70723,156
Intel Core i9-14900KS,60323,156
Intel Xeon Gold 6542Y,60144,157
Intel Xeon Platinum 8352V @ 2.10GHz,70327,157
Intel Xeon Gold 6138 @ 2.00GHz,69775,158
AMD Ryzen Threadripper PRO 7955WX,60063,158
AMD EPYC 4584PX,59990,159
Intel Xeon Silver 4416+,69598,159
AMD EPYC 7K62,59533,160
Intel Xeon E7-8890 v4 @ 2.20GHz,68915,160
AMD EPYC 7642,59333,161
Intel Xeon Platinum 8352Y @ 2.20GHz,68643,161
AMD EPYC 7313,68456,162
AMD EPYC 7473X,59280,162
Intel Xeon Gold 6426Y,67425,163
Intel Xeon W-3375 @ 2.50GHz,59091,163
Intel Xeon Platinum 8275CL @ 3.00GHz,66812,164
AMD EPYC 7513,58869,164
Intel Xeon Gold 6526Y,66621,165
Intel Xeon Gold 6421N,58797,165
Intel Core Ultra 7 265K,58724,166
Montage Jintide C6348,66555,166
Intel Core Ultra 7 265KF,58603,167
Intel Xeon Gold 6338N @ 2.20GHz,65860,167
Intel Xeon Gold 6442Y,58534,168
Intel Xeon 6505P,65155,168
Intel Core i9-14900K,58469,169
AMD EPYC 7452,65147,169
Intel Xeon Gold 6226 @ 2.70GHz,64957,170
Intel Xeon w7-3545,58453,170
Intel Core i9-14900KF,58342,171
Intel Xeon Gold 5320 @ 2.20GHz,64788,171
Intel Xeon Gold 6338 @ 2.00GHz,64581,172
Intel Core i9-13900K,58322,172
Intel Xeon Gold 5420+,58209,173
Intel Xeon Gold 5318N @ 2.10GHz,64453,173
AMD Ryzen 9 7945HX3D,57838,174
Intel Xeon Gold 6354 @ 3.00GHz,64359,174
AMD EPYC 9135,57808,175
Intel Xeon Gold 6150 @ 2.70GHz,64115,175
Intel Xeon Platinum 8280L @ 2.70GHz,64076,176
Intel Core i9-13900KF,57722,176
Intel Core Ultra 9 285HX,57593,177
AMD EPYC 7F52,63931,177
AMD Ryzen Threadripper PRO 3955WX,63885,178
Ampere ARM - 192 Core 3200 MHz,57444,178
Intel Xeon Gold 6423N,57434,179
AMD EPYC 9124,63699,179
AMD EPYC 7552,57414,180
Intel Xeon E7-8870 v4 @ 2.10GHz,63598,180
ARM Neoverse-V2 72 Core 3465 MHz,57369,181
AMD EPYC 7402,63597,181
Intel Xeon W-3365 @ 2.70GHz,57312,182
Intel Xeon Gold 6258R @ 2.70GHz,63465,182
ARM Neoverse-V2 72 Core 3447 MHz,57299,183
Intel Xeon Platinum 8280 @ 2.70GHz,63232,183
Intel Xeon Platinum 8280L @ 2.70GHz,62558,184
Intel Core Ultra 9 285,57281,184
Intel Xeon w7-2495X,57244,185
AMD EPYC 7501,61736,185
Intel Xeon Gold 6268CL @ 2.80GHz,61095,186
ARM Neoverse-V2 72 Core 3519 MHz,57240,186
Intel Xeon Gold 6414U,57200,187
Intel Xeon E7-8894 v4 @ 2.40GHz,60496,187
AMD EPYC 8324P,57127,188
Intel Xeon E5-4669 v4 @ 2.20GHz,60415,188
AMD EPYC 7443P,56808,189
Intel Xeon Gold 6330 @ 2.00GHz,60311,189
Intel Xeon Platinum 8276L @ 2.20GHz,60188,190
Intel Xeon Platinum 8362 @ 2.80GHz,56787,190
Intel Xeon Platinum 8268 @ 2.90GHz,59851,191
AMD EPYC 7443,56743,191
ARM Neoverse-V2 96 Core 0 MHz,56557,192
Intel Xeon Gold 6136 @ 3.00GHz,59759,192
ARM Neoverse-V2 72 Core 3411 MHz,56432,193
Intel Xeon Gold 6278C @ 2.60GHz,59208,193
Intel Xeon Gold 6130 @ 2.10GHz,58852,194
AMD Ryzen Threadripper PRO 9945WX,56278,194
Intel Xeon Gold 6248R @ 3.00GHz,58412,195
AMD Ryzen 9 9900X3D,56239,195
Intel Xeon Platinum 8255C @ 2.50GHz,58130,196
Intel Xeon Platinum 8375C @ 2.90GHz,56202,196
AMD EPYC 7352,58125,197
Intel Core Ultra 9 275HX,56136,197
Intel Xeon Gold 6238R @ 2.20GHz,57927,198
AMD Ryzen 9 9955HX,55669,198
AMD EPYC 7551,57841,199
AMD Ryzen AI Max+ 395,55188,199
Intel Xeon E7-8895 v2 @ 2.80GHz,57307,200
Intel Xeon w7-3455,54998,200
Intel Xeon E7-8880 v4 @ 2.20GHz,56636,201
AMD Ryzen Threadripper 3960X,54788,201
Intel Xeon Platinum 8269CY @ 2.50GHz,56330,202
Intel Xeon w5-3535X,54737,202
AMD Ryzen 9 9900X,54446,203
Intel Xeon Platinum 8270CL @ 2.70GHz,55854,203
Intel Xeon Platinum 8358 @ 2.60GHz,54416,204
Intel Xeon Gold 6242R @ 3.10GHz,55583,204
Intel Xeon Gold 6346 @ 3.10GHz,55571,205
AMD EPYC 4545P,54261,205
AMD Ryzen 9 7945HX,54220,206
Intel Xeon E7-8880 v3 @ 2.30GHz,55444,206
Intel Xeon Platinum 8260M @ 2.40GHz,55438,207
Intel Xeon Platinum 8360Y @ 2.40GHz,54078,207
Intel Xeon Gold 5416S,55431,208
AMD Ryzen 9 7940HX,53507,208
Intel Xeon w7-2475X,53211,209
Intel Xeon Platinum 8180M @ 2.50GHz,55391,209
Intel Xeon Gold 6430,53066,210
Intel Xeon Platinum 8260M @ 2.30GHz,55297,210
AMD EPYC 7401,55280,211
Intel Xeon w7-2575X,52951,211
AMD EPYC 9015,55013,212
AMD EPYC 9174F,52902,212
AMD EPYC 7F72,52840,213
AMD EPYC 7371,54894,213
Intel Xeon Gold 6438N,52789,214
Intel Xeon Platinum 8171M @ 2.60GHz,54765,214
Intel Xeon Platinum 8259CL @ 2.50GHz,54680,215
Intel Xeon w5-2565X,52450,215
AMD EPYC 7502,52427,216
Intel Xeon E5-4660 v4 @ 2.20GHz,54621,216
Intel Core i7-14700KF,52251,217
Intel Xeon Silver 4316 @ 2.30GHz,54341,217
Intel Core i7-14700K,52136,218
Intel Xeon Gold 5218 @ 2.30GHz,54123,218
AMD Ryzen 9 8945HX,52008,219
Intel Xeon Platinum 8176 @ 2.10GHz,54087,219
Intel Xeon Gold 5320H @ 2.40GHz,53931,220
